,UtcTime,EventID,ProcessGuid,Protocol,Initiated,SourceIsIpv6,SourceIp,SourcePort,DestinationIsIpv6,DestinationIp,DestinationPort,FileVersion,Description,Product,Company,OriginalFileName,CommandLine,CurrentDirectory,IntegrityLevel,ParentCommandLine,Signed,Signature,SignatureStatus,collector_node_id,Image_process,ParentImage_process,SourceImage_process,TargetImage_process,TargetObject_processed,TargetFilename_file,TargetFilename_processed,ImageLoaded_dll,ImageLoaded_processed
30,2024-01-22 16:14:31.518,7,{0ac3eb96-5a96-65a8-4c02-000000006a00},,,,,,,,,,,,,,,,,,True,microsoft windows,valid,a0108035,explorer.exe,,,,,empty,,1,c:\windows\system32
31,2024-01-22 17:48:41.287,7,{0ac3eb96-5a96-65a8-4c02-000000006a00},,,,,,,,,,,,,,,,,,True,microsoft windows,valid,a0108035,explorer.exe,,,,,empty,,1,c:\windows\system32
32,2024-01-22 18:37:45.156,7,{0ac3eb96-5a96-65a8-4c02-000000006a00},,,,,,,,,,,,,,,,,,True,microsoft windows,valid,a0108035,explorer.exe,,,,,empty,,1,c:\windows\system32
33,2024-01-22 18:52:08.164,7,{0ac3eb96-5a96-65a8-4c02-000000006a00},,,,,,,,,,,,,,,,,,True,microsoft windows,valid,a0108035,explorer.exe,,,,,empty,,1,c:\windows\system32
34,2024-01-22 19:20:57.901,7,{0ac3eb96-5a96-65a8-4c02-000000006a00},,,,,,,,,,,,,,,,,,True,microsoft windows,valid,a0108035,explorer.exe,,,,,empty,,1,c:\windows\system32
35,2024-01-23 18:18:47.093,7,{0ac3eb96-5a96-65a8-4c02-000000006a00},,,,,,,,,,,,,,,,,,True,microsoft windows,valid,a0108035,explorer.exe,,,,,empty,,1,c:\windows\system32
36,2024-01-24 07:06:09.724,1,{0ac3eb96-b6e1-65b0-b92b-000000006a00},,,,,,,,,10.0.19041.3758 (winbuild.160101.0800),windows explorer,microsoft® windows® operating system,microsoft corporation,explorer.exe,"c:\windows\explorer.exe /factory,{5bd95610-9434-43c2-886c-57852cc8a120} -embedding",SYSTEMDIRECTORY,medium,-,,,,a0108035,explorer.exe,-,,,,empty,,0,empty
37,2024-01-24 19:41:20.765,1,{0ac3eb96-67e0-65b1-7207-000000006b00},,,,,,,,,10.0.19041.3758 (winbuild.160101.0800),windows explorer,microsoft® windows® operating system,microsoft corporation,explorer.exe,c:\windows\explorer.exe,SYSTEMDIRECTORY,medium,c:\windows\system32\userinit.exe,,,,a0108035,explorer.exe,userinit.exe,,,,empty,,0,empty
38,2024-01-24 19:41:40.999,7,{0ac3eb96-67e0-65b1-7207-000000006b00},,,,,,,,,,,,,,,,,,True,microsoft windows,valid,a0108035,explorer.exe,,,,,empty,,1,c:\windows\system32
39,2024-01-24 19:46:47.604,13,{0ac3eb96-67e0-65b1-7207-000000006b00},,,,,,,,,,,,,,,,,,,,,a0108035,explorer.exe,,,,hku,empty,,0,empty
40,2024-01-25 21:42:13.156,1,{0ac3eb96-d5b5-65b2-7101-000000006c00},,,,,,,,,10.0.19041.3758 (winbuild.160101.0800),windows explorer,microsoft® windows® operating system,microsoft corporation,explorer.exe,c:\windows\explorer.exe,SYSTEMDIRECTORY,medium,c:\windows\system32\userinit.exe,,,,a0108035,explorer.exe,userinit.exe,,,,empty,,0,empty
41,2024-01-25 21:42:13.156,1,{0ac3eb96-d5b5-65b2-7101-000000006c00},,,,,,,,,10.0.19041.3758 (winbuild.160101.0800),windows explorer,microsoft® windows® operating system,microsoft corporation,explorer.exe,c:\windows\explorer.exe,SYSTEMDIRECTORY,medium,c:\windows\system32\userinit.exe,,,,a0108035,explorer.exe,userinit.exe,,,,empty,,0,empty
42,2024-01-25 21:48:40.779,13,{0ac3eb96-d5b5-65b2-7101-000000006c00},,,,,,,,,,,,,,,,,,,,,a0108035,explorer.exe,,,,hku,empty,,0,empty
43,2024-01-25 21:48:40.779,13,{0ac3eb96-d5b5-65b2-7101-000000006c00},,,,,,,,,,,,,,,,,,,,,a0108035,explorer.exe,,,,hku,empty,,0,empty
44,2024-01-26 08:13:10.427,1,{0ac3eb96-6996-65b3-9801-000000006d00},,,,,,,,,10.0.19041.3758 (winbuild.160101.0800),windows explorer,microsoft® windows® operating system,microsoft corporation,explorer.exe,c:\windows\explorer.exe,SYSTEMDIRECTORY,medium,c:\windows\system32\userinit.exe,,,,a0108035,explorer.exe,userinit.exe,,,,empty,,0,empty
45,2024-01-26 08:18:24.542,13,{0ac3eb96-6996-65b3-9801-000000006d00},,,,,,,,,,,,,,,,,,,,,a0108035,explorer.exe,,,,hku,empty,,0,empty
46,2024-01-31 21:01:16.005,7,{0ac3eb96-6996-65b3-9801-000000006d00},,,,,,,,,,,,,,,,,,True,microsoft windows,valid,a0108035,explorer.exe,,,,,empty,,1,c:\windows\system32
47,2024-01-08 08:05:58.048,12,{03a107b9-ace5-659b-7fce-000000007700},,,,,,,,,,,,,,,,,,,,,a0108049,explorer.exe,,,,hku,empty,,0,empty
48,2024-01-08 08:05:58.048,12,{03a107b9-ace5-659b-7fce-000000007700},,,,,,,,,,,,,,,,,,,,,a0108049,explorer.exe,,,,hku,empty,,0,empty
49,2024-01-08 08:05:58.170,12,{03a107b9-ace5-659b-7fce-000000007700},,,,,,,,,,,,,,,,,,,,,a0108049,explorer.exe,,,,hku,empty,,0,empty
50,2024-01-08 08:05:58.281,13,{03a107b9-ace5-659b-7fce-000000007700},,,,,,,,,,,,,,,,,,,,,a0108049,explorer.exe,,,,hku,empty,,0,empty
51,2024-01-08 08:05:58.281,12,{03a107b9-ace5-659b-7fce-000000007700},,,,,,,,,,,,,,,,,,,,,a0108049,explorer.exe,,,,hku,empty,,0,empty
52,2024-01-08 08:05:58.436,12,{03a107b9-ace5-659b-7fce-000000007700},,,,,,,,,,,,,,,,,,,,,a0108049,explorer.exe,,,,hku,empty,,0,empty
53,2024-01-08 08:05:58.437,12,{03a107b9-ace5-659b-7fce-000000007700},,,,,,,,,,,,,,,,,,,,,a0108049,explorer.exe,,,,hku,empty,,0,empty
54,2024-01-08 08:05:58.543,12,{03a107b9-ace5-659b-7fce-000000007700},,,,,,,,,,,,,,,,,,,,,a0108049,explorer.exe,,,,hku,empty,,0,empty
55,2024-01-08 08:05:58.543,13,{03a107b9-ace5-659b-7fce-000000007700},,,,,,,,,,,,,,,,,,,,,a0108049,explorer.exe,,,,hku,empty,,0,empty
56,2024-01-08 08:05:58.679,12,{03a107b9-ace5-659b-7fce-000000007700},,,,,,,,,,,,,,,,,,,,,a0108049,explorer.exe,,,,hku,empty,,0,empty
57,2024-01-08 08:05:58.679,13,{03a107b9-ace5-659b-7fce-000000007700},,,,,,,,,,,,,,,,,,,,,a0108049,explorer.exe,,,,hku,empty,,0,empty
58,2024-01-08 08:05:58.796,12,{03a107b9-ace5-659b-7fce-000000007700},,,,,,,,,,,,,,,,,,,,,a0108049,explorer.exe,,,,hku,empty,,0,empty
59,2024-01-08 08:05:58.799,12,{03a107b9-ace5-659b-7fce-000000007700},,,,,,,,,,,,,,,,,,,,,a0108049,explorer.exe,,,,hku,empty,,0,empty
60,2024-01-08 08:05:59.368,12,{03a107b9-ace5-659b-7fce-000000007700},,,,,,,,,,,,,,,,,,,,,a0108049,explorer.exe,,,,hku,empty,,0,empty
61,2024-01-08 08:05:59.373,12,{03a107b9-ace5-659b-7fce-000000007700},,,,,,,,,,,,,,,,,,,,,a0108049,explorer.exe,,,,hku,empty,,0,empty
62,2024-01-08 08:07:53.577,13,{03a107b9-ace5-659b-7fce-000000007700},,,,,,,,,,,,,,,,,,,,,a0108049,explorer.exe,,,,hku,empty,,0,empty
63,2024-01-08 08:07:53.578,12,{03a107b9-ace5-659b-7fce-000000007700},,,,,,,,,,,,,,,,,,,,,a0108049,explorer.exe,,,,hku,empty,,0,empty
64,2024-01-08 08:10:59.746,12,{03a107b9-ace5-659b-7fce-000000007700},,,,,,,,,,,,,,,,,,,,,a0108049,explorer.exe,,,,hku,empty,,0,empty
65,2024-01-08 08:10:59.746,13,{03a107b9-ace5-659b-7fce-000000007700},,,,,,,,,,,,,,,,,,,,,a0108049,explorer.exe,,,,hku,empty,,0,empty
66,2024-01-08 08:10:59.746,13,{03a107b9-ace5-659b-7fce-000000007700},,,,,,,,,,,,,,,,,,,,,a0108049,explorer.exe,,,,hku,empty,,0,empty
67,2024-01-08 08:10:59.746,12,{03a107b9-ace5-659b-7fce-000000007700},,,,,,,,,,,,,,,,,,,,,a0108049,explorer.exe,,,,hku,empty,,0,empty
68,2024-01-08 08:10:59.762,12,{03a107b9-ace5-659b-7fce-000000007700},,,,,,,,,,,,,,,,,,,,,a0108049,explorer.exe,,,,hku,empty,,0,empty
69,2024-01-08 08:10:59.762,13,{03a107b9-ace5-659b-7fce-000000007700},,,,,,,,,,,,,,,,,,,,,a0108049,explorer.exe,,,,hku,empty,,0,empty
70,2024-01-08 08:10:59.770,12,{03a107b9-ace5-659b-7fce-000000007700},,,,,,,,,,,,,,,,,,,,,a0108049,explorer.exe,,,,hku,empty,,0,empty
71,2024-01-08 08:10:59.770,13,{03a107b9-ace5-659b-7fce-000000007700},,,,,,,,,,,,,,,,,,,,,a0108049,explorer.exe,,,,hku,empty,,0,empty
72,2024-01-08 08:10:59.786,13,{03a107b9-ace5-659b-7fce-000000007700},,,,,,,,,,,,,,,,,,,,,a0108049,explorer.exe,,,,hku,empty,,0,empty
73,2024-01-08 08:10:59.786,12,{03a107b9-ace5-659b-7fce-000000007700},,,,,,,,,,,,,,,,,,,,,a0108049,explorer.exe,,,,hku,empty,,0,empty
74,2024-01-08 08:10:59.786,12,{03a107b9-ace5-659b-7fce-000000007700},,,,,,,,,,,,,,,,,,,,,a0108049,explorer.exe,,,,hku,empty,,0,empty
75,2024-01-08 08:10:59.786,13,{03a107b9-ace5-659b-7fce-000000007700},,,,,,,,,,,,,,,,,,,,,a0108049,explorer.exe,,,,hku,empty,,0,empty
76,2024-01-08 08:10:59.801,13,{03a107b9-ace5-659b-7fce-000000007700},,,,,,,,,,,,,,,,,,,,,a0108049,explorer.exe,,,,hku,empty,,0,empty
77,2024-01-08 08:10:59.801,12,{03a107b9-ace5-659b-7fce-000000007700},,,,,,,,,,,,,,,,,,,,,a0108049,explorer.exe,,,,hku,empty,,0,empty
78,2024-01-08 08:10:59.815,12,{03a107b9-ace5-659b-7fce-000000007700},,,,,,,,,,,,,,,,,,,,,a0108049,explorer.exe,,,,hku,empty,,0,empty
79,2024-01-08 08:10:59.815,13,{03a107b9-ace5-659b-7fce-000000007700},,,,,,,,,,,,,,,,,,,,,a0108049,explorer.exe,,,,hku,empty,,0,empty
80,2024-01-08 08:10:59.826,12,{03a107b9-ace5-659b-7fce-000000007700},,,,,,,,,,,,,,,,,,,,,a0108049,explorer.exe,,,,hku,empty,,0,empty
81,2024-01-08 08:10:59.826,13,{03a107b9-ace5-659b-7fce-000000007700},,,,,,,,,,,,,,,,,,,,,a0108049,explorer.exe,,,,hku,empty,,0,empty
82,2024-01-08 08:10:59.826,13,{03a107b9-ace5-659b-7fce-000000007700},,,,,,,,,,,,,,,,,,,,,a0108049,explorer.exe,,,,hku,empty,,0,empty
83,2024-01-08 08:10:59.826,12,{03a107b9-ace5-659b-7fce-000000007700},,,,,,,,,,,,,,,,,,,,,a0108049,explorer.exe,,,,hku,empty,,0,empty
84,2024-01-08 12:03:36.384,13,{03a107b9-ace5-659b-7fce-000000007700},,,,,,,,,,,,,,,,,,,,,a0108049,explorer.exe,,,,hku,empty,,0,empty
85,2024-01-08 12:11:36.512,12,{03a107b9-ace5-659b-7fce-000000007700},,,,,,,,,,,,,,,,,,,,,a0108049,explorer.exe,,,,hku,empty,,0,empty
86,2024-01-08 12:11:36.515,12,{03a107b9-ace5-659b-7fce-000000007700},,,,,,,,,,,,,,,,,,,,,a0108049,explorer.exe,,,,hku,empty,,0,empty
87,2024-01-08 12:11:48.133,12,{03a107b9-ace5-659b-7fce-000000007700},,,,,,,,,,,,,,,,,,,,,a0108049,explorer.exe,,,,hku,empty,,0,empty
88,2024-01-08 12:11:48.137,12,{03a107b9-ace5-659b-7fce-000000007700},,,,,,,,,,,,,,,,,,,,,a0108049,explorer.exe,,,,hku,empty,,0,empty
89,2024-01-08 12:11:53.929,12,{03a107b9-ace5-659b-7fce-000000007700},,,,,,,,,,,,,,,,,,,,,a0108049,explorer.exe,,,,hku,empty,,0,empty
90,2024-01-08 12:11:54.072,12,{03a107b9-ace5-659b-7fce-000000007700},,,,,,,,,,,,,,,,,,,,,a0108049,explorer.exe,,,,hku,empty,,0,empty
91,2024-01-08 12:11:57.452,12,{03a107b9-ace5-659b-7fce-000000007700},,,,,,,,,,,,,,,,,,,,,a0108049,explorer.exe,,,,hku,empty,,0,empty
92,2024-01-08 12:11:57.453,12,{03a107b9-ace5-659b-7fce-000000007700},,,,,,,,,,,,,,,,,,,,,a0108049,explorer.exe,,,,hku,empty,,0,empty
93,2024-01-08 12:12:01.725,12,{03a107b9-ace5-659b-7fce-000000007700},,,,,,,,,,,,,,,,,,,,,a0108049,explorer.exe,,,,hku,empty,,0,empty
94,2024-01-08 12:12:01.741,12,{03a107b9-ace5-659b-7fce-000000007700},,,,,,,,,,,,,,,,,,,,,a0108049,explorer.exe,,,,hku,empty,,0,empty
